crate,units,undirected_edges,betti_0,betti_1,circuit_rank,max_persistence,total_persistence,resolved_calls,external_calls,ambiguous_calls
ga-chatbot,8,12,1,5,5,1.0000,2.0012,229,1293,2
ix-acoustic-tune,8,8,2,2,2,1.0000,3.6762,117,634,30
ix-adversarial,6,0,6,0,0,0.0000,0.0000,52,258,0
ix-agent,30,32,11,13,13,1.0000,8.1750,599,4496,328
ix-agent-core,8,7,3,2,2,0.5000,1.4583,75,213,66
ix-ai-annotations,8,14,1,7,7,1.0000,3.0167,95,339,0
ix-approval,4,2,2,0,0,1.0000,1.1250,46,47,0
ix-assumption-graph,12,28,2,18,18,1.0000,2.4568,249,467,6
ix-autograd,12,17,5,10,10,0.1429,0.6839,159,310,6
ix-autoresearch,11,17,2,8,8,0.3333,1.8857,225,897,98
ix-baml,2,1,1,0,0,0.1667,0.1667,47,141,27
ix-blast-radius,2,1,1,0,0,1.0000,1.0000,13,99,0
ix-bracelet,11,22,2,13,13,0.2500,1.0306,357,229,255
ix-cache,6,7,2,3,3,0.2000,0.3664,311,263,55
ix-catalog-core,1,0,1,0,0,0.0000,0.0000,7,16,0
ix-category,4,0,4,0,0,0.0000,0.0000,50,86,18
ix-chaos,10,5,5,0,0,1.0000,2.7361,94,300,0
ix-code,12,23,2,13,13,0.5000,1.4859,446,1101,3
ix-context,7,11,2,6,6,0.3333,0.6188,255,766,107
ix-dashboard,5,4,2,1,1,0.5000,0.6637,50,189,0
ix-demo,28,27,3,2,2,1.0000,4.6386,453,2804,123
ix-duck,28,80,1,53,53,1.0000,6.6574,801,3135,226
ix-duck-ext,2,0,2,0,0,0.0000,0.0000,0,79,0
ix-dynamics,5,1,4,0,0,0.5000,0.5000,109,256,31
ix-embedding-diagnostics,1,0,1,0,0,0.0000,0.0000,22,225,0
ix-ensemble,4,0,4,0,0,0.0000,0.0000,8,134,44
ix-evolution,7,4,4,1,1,1.0000,1.2778,30,283,47
ix-fractal,6,0,6,0,0,0.0000,0.0000,73,128,16
ix-fuzzy,7,5,3,1,1,0.1111,0.2868,210,308,32
ix-game,8,0,8,0,0,0.0000,0.0000,100,324,18
ix-governance,12,3,9,0,0,1.0000,2.0714,249,856,88
ix-gpu,12,11,3,2,2,0.3333,1.6326,189,526,0
ix-grammar,7,4,3,0,0,1.0000,2.3429,76,477,113
ix-graph,6,1,5,0,0,0.5000,0.5000,133,416,66
ix-harness-cargo,2,1,1,0,0,0.5000,0.5000,38,146,0
ix-harness-clippy,2,1,1,0,0,1.0000,1.0000,42,160,0
ix-harness-ga,2,1,1,0,0,1.0000,1.0000,15,75,0
ix-harness-github-actions,2,1,1,0,0,1.0000,1.0000,40,145,0
ix-harness-signing,1,0,1,0,0,0.0000,0.0000,52,92,0
ix-harness-tars,2,1,1,0,0,1.0000,1.0000,52,167,0
ix-invariant-coverage,7,7,2,2,2,1.0000,3.8333,79,323,36
ix-io,11,11,3,3,3,1.0000,3.0722,119,406,34
ix-ixql,8,11,2,5,5,0.5000,1.4769,322,595,94
ix-ktheory,4,0,4,0,0,0.0000,0.0000,23,92,0
ix-loop-detect,2,1,1,0,0,0.2000,0.2000,59,64,15
ix-manifold,1,0,1,0,0,0.0000,0.0000,61,143,0
ix-math,22,26,6,10,10,0.5000,3.9402,574,1121,228
ix-memory,5,0,5,0,0,0.0000,0.0000,113,177,34
ix-net,2,0,2,0,0,0.0000,0.0000,20,92,0
ix-nn,12,14,4,6,6,1.0000,2.1961,278,1172,221
ix-number-theory,8,6,3,1,1,0.5000,1.4333,78,62,0
ix-optick,1,0,1,0,0,0.0000,0.0000,65,215,0
ix-optick-invariants,1,0,1,0,0,0.0000,0.0000,10,132,0
ix-optick-sae,3,2,1,0,0,0.5000,1.0000,27,176,0
ix-optimize,6,3,3,0,0,0.5000,1.1667,20,62,17
ix-pipeline,8,8,2,2,2,1.0000,3.2667,231,780,136
ix-probabilistic,5,1,4,0,0,1.0000,1.0000,22,91,68
ix-quality-trend,11,26,2,17,17,1.0000,2.4844,380,1156,86
ix-quality-validate,2,1,1,0,0,0.5000,0.5000,7,43,0
ix-registrar,1,0,1,0,0,0.0000,0.0000,16,56,0
ix-registry,1,0,1,0,0,0.0000,0.0000,7,31,0
ix-registry-check,2,1,1,0,0,0.3333,0.3333,6,85,0
ix-rl,5,1,4,0,0,0.2500,0.2500,24,93,12
ix-rotation,8,6,3,1,1,0.2000,0.5409,125,94,86
ix-router-spike,1,0,1,0,0,0.0000,0.0000,40,207,0
ix-sanitize,1,0,1,0,0,0.0000,0.0000,21,31,0
ix-search,8,7,2,1,1,0.2500,0.6977,172,335,105
ix-sedenion,5,0,5,0,0,0.0000,0.0000,77,198,106
ix-sentinel,3,2,1,0,0,1.0000,2.0000,20,215,0
ix-sentrux-annotations,8,9,2,3,3,1.0000,3.8333,87,482,0
ix-session,4,1,3,0,0,0.1000,0.1000,19,58,1
ix-signal,12,5,7,0,0,1.0000,2.3095,105,384,11
ix-skill,19,41,3,25,25,1.0000,4.5774,406,1663,126
ix-skill-macros,1,0,1,0,0,0.0000,0.0000,1,85,0
ix-streeling,7,4,3,0,0,1.0000,2.5000,36,261,0
ix-supervised,13,4,9,0,0,1.0000,2.8333,128,655,121
ix-topo,5,3,3,1,1,0.1667,0.1905,190,162,42
ix-types,2,1,1,0,0,0.0526,0.0526,53,91,0
ix-unsupervised,11,0,11,0,0,0.0000,0.0000,34,658,110
ix-value,5,2,3,0,0,0.5000,0.6667,14,69,0
ix-voicings,6,6,1,1,1,0.3333,1.0790,150,1209,0
memristive-markov,13,8,8,3,3,0.5000,1.2179,79,285,122
